   age      spacing  sibs    time   status
  19.7      1312      1      2636      0
  24.5       789      4      1217      0
  25.3       866      1       765      0
  20.4      1071      4      2124      0
  20.5      1470      1      2116      0
  23.0       793      2      1494      0
  23.7      1267      1       654      1
  27.2       698      1       219      0
  21.3       925      2      2265      0
  24.8       977      1       126      0
  25.3      1271      1       177      0
  24.9       904      1      1045      0
  27.3       625      4       373      0
  21.4       886      4      1581      1
  27.2       527      3       654      0
  26.0       495      2       735      0
  25.3      1044      1       797      0
  24.1      1177      3       777      0
  22.5      1806      1       382      0
  23.1      1183      4      1438      0
  23.4       856      3       491      0
  26.1       919      1       659      0
  25.4       626      2       683      0
  24.1       742      1       940      1
  26.5       715      4       526      0
  21.7      1382      2       786      0
  20.4       695      3      2514      0
  21.6       856      4      2305      0
  23.4      1112      4       653      0
  20.6      2467      1       530      0
  25.3      1221      1       386      0
  23.1       961      4      1644      0
  21.2      2890      3        78      0
  27.5       875      4       211      0
  25.6       754      4       577      0
  22.4      1354      4       833      0
  27.5       705      3       204      0
  22.1      1362      1      1012      0
  25.1      1426      4       424      0
  21.7      1182      4      1898      0
  23.3       703      3        31      0
  25.8       831      4       333      0
  27.3       775      2         4      0
  23.5       886      2      1195      1
  19.9       798      4       912      1
  27.1       484      4       565      0
  22.8       722      2       708      1
  22.3      1011      3      1882      0
  23.8      1652      3       690      0
  21.4       829      4      2082      0
  24.9       974      3       233      0
  26.4       626      4       810      0
  24.5       407      4       907      0
  21.9      1840      2       784      0
  21.0       781      3      1579      0
  22.5       679      4       829      0
  25.1      1008      2        85      0
  24.1       668      3      1279      0
  19.4      1477      4      1366      0
  21.3      1532      1        73      0
  23.5       778      3      1392      1
  25.7       795      4       755      0
  25.4       965      1       656      0
  23.5      1632      1       896      0
  21.8       880      1       724      0
  27.0       505      2       444      0
  26.9       876      2       154      0
  24.0       661      1       550      0
  23.0       754      2       784      1
  23.6       634      2       725      0
  27.0       665      3       637      0
  24.2       652      3       957      0
  24.1       814      1        96      0
  23.8       941      2       851      0
  26.1       548      1       204      0
  21.7       748      1      1631      1
  23.6       699      2       571      1
  22.3      1458      3       884      0
  22.4       429      1      1148      0
  19.6       909      3       358      0
  25.9       551      4       442      0
  26.5       732      3       298      0
  24.4       736      4       543      0
  23.0       994      4       488      0
  23.6       739      1      1119      0
  24.0       688      2       955      1
  18.5       666      4      1648      0
  21.1       881      1       984      0
  23.3       381      1      1432      1
  25.8       520      3        97      0
  25.0       902      1       899      0
  21.4       614      2      2656      0
  21.7       899      2       749      0
  22.6       955      4      1697      0
  22.7       597      4       796      0
  25.8       922      4       198      0
  22.1       664      3      1107      0
  24.2       990      4       762      0
  20.6      1549      4       560      0
  21.3       620      1      1243      0
  23.2       683      3        28      0
  20.5      1093      3      1462      1
  22.8       703      4      1257      0
  21.4      1508      3       646      1
  20.9       698      2       466      0
  20.7      1813      3       897      0
  21.9       801      2       731      0
  24.4       622      2        75      0
  25.6       419      3       681      0
  24.2       894      3      1011      0
  25.2       689      2       954      0
  22.7       878      4       988      0
  25.1       849      4       118      0
  23.6       420      3       700      0
  20.9       774      3       874      0
  23.3       982      1       232      0
  24.3      1101      1       439      0
  22.3       835      1      1002      0
  21.8      1769      1       269      0
  23.2       771      1        32      0
  20.9       775      4       814      0
  19.0       902      3      1540      0
  23.4       871      1       393      0
  24.8       674      1       210      0
  26.2       978      1       286      0
  24.1      1254      3        47      0
  23.8       576      1       588      0
  25.0       456      2      1211      0
  23.3      1150      2      1128      0
  25.3       537      3       198      0
  27.1       991      2       227      0
  22.8       491      4      1196      0
  20.9       466      2       536      1
  22.9      1030      1       429      0
  23.2      1382      4       631      0
  20.4      1538      1      1586      0
  20.4      1054      1       268      0
  21.4      1443      3        27      0
  25.0       967      4       394      0
  22.1       438      4       920      0
  23.6       823      3       239      0
  20.5       914      3       600      0
  22.5      1066      4       967      0
  20.0       720      1       752      0
  21.6       909      4       749      0
  21.6       475      1       749      1
  21.6       789      2        92      0
  21.9       910      1       149      0
  21.6       576      1       627      0
  26.5       892      3       537      0
  19.2       361      1       320      0
  22.6       703      3       541      0
  26.7       536      3       436      0
  24.9      1091      4       407      0
  22.1       672      1       180      0
  23.6       701      1       489      1
  25.1       983      4       275      0
  20.3       971      4       107      0
  23.8      1408      2       223      0
  18.8       595      2      1009      1
  20.9       888      4      1008      0
  21.5      1144      4       186      0
  21.6       557      4       809      1
  27.7       541      2       118      0
  22.6       914      4       200      0
  20.8      1076      3       490      0
  19.8       357      1       921      1
  19.8      1402      3       776      0
  24.6       551      1       598      0
  25.6      1152      3        86      0
  23.9       863      1        70      0
  25.6       973      1       847      0
  20.2      1340      1       979      0
  20.8       669      2      1371      1
  21.2       633      4       730      0
  21.8       568      3       891      1
  25.3       859      3       280      0
  24.9       432      3       738      0
  21.4       951      3       968      1
  21.4      1621      1       611      0
  22.6       763      3       840      0
  22.3      1494      4       472      0
  20.7      1157      3      1323      0
  25.4       490      3      1286      0
  22.0       835      4        88      0
  26.4       527      1       179      0
  25.8       858      1       171      0
  24.6       959      2        66      0
  26.8       829      3       460      0
  21.8       569      1       549      1
  20.9       507      4       143      0
  21.7       589      3       879      0
  28.0       515      1       316      0
  23.3       737      4       144      0
  24.9       862      4       141      0
  22.6       510      4       364      0
  21.5       602      1       267      0
  24.5       872      4       422      0
  25.1       605      1       199      0
  20.6       845      1       988      0
  21.4       772      1      1021      0
  20.1       527      2       508      0
  23.3       976      4       710      0
  20.7       934      1       860      0
  21.4       652      3       715      0
  23.4       919      2       356      0
  24.5       878      4       336      0
  20.6       697      4       423      1
  25.0       594      1       357      0
  20.8       813      1       981      0
  21.6      1020      2       518      0
  22.7      1071      3       107      0
  23.2       890      4       412      0
  23.4      1303      1       812      0
  20.3       879      4       389      0
  22.3       489      1       991      0
  25.1       854      4        39      0
  22.0       618      1       257      0
  24.1       740      2       388      0
  23.2       502      3       493      0
  24.1      1552      1        63      0
  25.3       481      3         9      0
  26.8       994      1       124      0
  23.7       470      3       441      0
  24.9      1075      2       179      0
  24.4       836      2       447      0
  25.2       855      3       814      0
  21.6       991      1       506      0
  20.7      1550      4        61      0
  19.8       358      4       658      1
  22.3      1378      1       355      0
  20.9      1091      2       689      0
  24.0       954      2       223      0
  21.1       518      1       371      0
  20.3       918      3       263      0
  22.0       728      2       720      0
  25.6      1059      4        35      0
  24.2      1085      1       327      0
  18.8       446      1       842      0
  23.7       748      3       490      0
  25.4       913      2       150      0
  21.0       382      4      1066      0
  22.1       751      2       760      0
  20.2      1224      4       103      0
  23.6      1079      1       202      0
  18.1       707      2       987      0
  19.7       354      3      1691      0
  21.0       937      3       829      1
  22.5       631      1       370      0
  21.3       547      2      1078      0
  24.7       827      1       613      0
  22.6      1030      1       537      0
  23.1      1155      4      1440      0
  22.7       883      3       208      0
  21.7      1054      4      1387      0
  21.8       873      2       124      0
  24.2       633      4       121      0
  21.9       656      4       407      0
  23.2       840      1       995      1
  22.4       777      4       112      0
  22.4       521      3       573      0
  24.5       509      3       372      0
  23.9       887      2       647      0
  21.9       792      2       599      0
  22.4       695      2       698      0
  23.3       462      3       118      0
  22.0       621      4       483      0
  24.5       928      4       730      0
  24.3       735      1       542      1
  25.3       896      1       632      0
  22.5      1026      1       231      0
  21.4       527      3      1011      0
  21.5      1016      1       414      0
  20.1      1107      2       339      0
  23.0       581      4       141      0
  23.8       839      4       778      0
  26.4       817      3       104      0
  20.3       869      1       958      0
  23.1       990      4      1002      0
  21.2      1621      1       185      0
  22.1       627      4       183      0
